headline,body,text,category,label
garoon diyaaradeed oo casri ah oo laga dhisayo dhuusamareeb,shirkadda isgaarsiinta ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,garoon diyaaradeed oo casri ah oo laga dhisayo dhuusamareeb shirkadda isgaarsiinta ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,Development,0 = Fake News
lacag malaayiin dollar ah oo ka luntay bangiga dhexe,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay afgooye,lacag malaayiin dollar ah oo ka luntay bangiga dhexe warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay afgooye,Finance,0 = Fake News
lacag malaayiin dollar ah oo ka luntay shirkadda hormuud,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay dubai,lacag malaayiin dollar ah oo ka luntay shirkadda hormuud warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay dubai,Finance,0 = Fake News
lacag malaayiin dollar ah oo ka luntay wasaaradda waxbarashada,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay muqdisho,lacag malaayiin dollar ah oo ka luntay wasaaradda waxbarashada warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay muqdisho,Finance,0 = Fake News
mucijisada ka dhacday minneapolis qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday minneapolis qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
deg deg bandow lagu soo rogay boosaaso,wasaaradda arrimaha gudaha ayaa sheegay in tallaabadan ay tahay mid lagu xaqiijinayo amniga,deg deg bandow lagu soo rogay boosaaso wasaaradda arrimaha gudaha ayaa sheegay in tallaabadan ay tahay mid lagu xaqiijinayo amniga,Security,0 = Fake News
xog qarsoodi ah bangiga dhexe oo balanbale kaga dhawaaqay iscasilaad,warar laga helay balanbale ayaa sheegaya in bangiga dhexe uu xilka ka degay cadaadis siyaasadeed awgiis,xog qarsoodi ah bangiga dhexe oo balanbale kaga dhawaaqay iscasilaad warar laga helay balanbale ayaa sheegaya in bangiga dhexe uu xilka ka degay cadaadis siyaasadeed awgiis,Politics,0 = Fake News
lacag malaayiin dollar ah oo ka luntay ururka suxufiyiinta,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay garbahaarey,lacag malaayiin dollar ah oo ka luntay ururka suxufiyiinta warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay garbahaarey,Finance,0 = Fake News
digniin caafimaad oo laga soo saaray hobyo,ururka midowga afrika ayaa ka digtay cudur faafa oo halis ku ah bulshada,digniin caafimaad oo laga soo saaray hobyo ururka midowga afrika ayaa ka digtay cudur faafa oo halis ku ah bulshada,Health,0 = Fake News
mashruuc weyn oo dib loogu dhisayo wadooyinka berbera,maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,mashruuc weyn oo dib loogu dhisayo wadooyinka berbera maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,Development,0 = Fake News
hel lacag dhan adigoo gurigaaga jooga doha,kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,hel lacag dhan adigoo gurigaaga jooga doha kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,Scams,0 = Fake News
lacag malaayiin dollar ah oo ka luntay midowga yurub,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay harardhere,lacag malaayiin dollar ah oo ka luntay midowga yurub warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay harardhere,Finance,0 = Fake News
mucijisada ka dhacday laascaanood qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday laascaanood qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
garoon diyaaradeed oo casri ah oo laga dhisayo boosaaso,maamulka gobolka ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,garoon diyaaradeed oo casri ah oo laga dhisayo boosaaso maamulka gobolka ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,Development,0 = Fake News
war deg deg ah daawo khatar ah oo lagu arkay dubai,dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,war deg deg ah daawo khatar ah oo lagu arkay dubai dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,Health,0 = Fake News
ciidamo dheeri ah oo la dhoobay wadooyinka berbera,sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,ciidamo dheeri ah oo la dhoobay wadooyinka berbera sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,Security,0 = Fake News
ciidamo dheeri ah oo la dhoobay wadooyinka afgooye,sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,ciidamo dheeri ah oo la dhoobay wadooyinka afgooye sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,Security,0 = Fake News
garoon diyaaradeed oo casri ah oo laga dhisayo boosaaso,shirkadda hormuud ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,garoon diyaaradeed oo casri ah oo laga dhisayo boosaaso shirkadda hormuud ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,Development,0 = Fake News
deg deg bandow lagu soo rogay eyl,ururka suxufiyiinta ayaa sheegay in tallaabadan ay tahay mid lagu xaqiijinayo amniga,deg deg bandow lagu soo rogay eyl ururka suxufiyiinta ayaa sheegay in tallaabadan ay tahay mid lagu xaqiijinayo amniga,Security,0 = Fake News
garoon diyaaradeed oo casri ah oo laga dhisayo seattle,qaramada midoobay ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,garoon diyaaradeed oo casri ah oo laga dhisayo seattle qaramada midoobay ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,Development,0 = Fake News
mucijisada ka dhacday borama qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday borama qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
heshiis qarsoodi ah daawo khatar ah oo lagu arkay baydhabo,dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,heshiis qarsoodi ah daawo khatar ah oo lagu arkay baydhabo dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,Health,0 = Fake News
mucijisada ka dhacday galkacyo qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday galkacyo qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
fursad shaqo ururka suxufiyiinta oo u baahan shaqaale mushaharkoodu sarreeyo,haddii aad joogto kismaayo fadlan riix linkiga hoose si aad u hesho fursadan dahabiga ah,fursad shaqo ururka suxufiyiinta oo u baahan shaqaale mushaharkoodu sarreeyo haddii aad joogto kismaayo fadlan riix linkiga hoose si aad u hesho fursadan dahabiga ah,Scams,0 = Fake News
ciidamo dheeri ah oo la dhoobay wadooyinka cape town,sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,ciidamo dheeri ah oo la dhoobay wadooyinka cape town sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,Security,0 = Fake News
digniin caafimaad oo laga soo saaray dhobley,shirkadda hormuud ayaa ka digtay cudur faafa oo halis ku ah bulshada,digniin caafimaad oo laga soo saaray dhobley shirkadda hormuud ayaa ka digtay cudur faafa oo halis ku ah bulshada,Health,0 = Fake News
mucijisada ka dhacday seattle qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday seattle qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
heshiis hordhac ah oo laga gaaray doorashada dubai,ilo wareedyo ayaa xaqiijiyay in shirkadda isgaarsiinta iyo madaxda kale ay heshiis ka gaareen muran muddo soo jiitamayay,heshiis hordhac ah oo laga gaaray doorashada dubai ilo wareedyo ayaa xaqiijiyay in shirkadda isgaarsiinta iyo madaxda kale ay heshiis ka gaareen muran muddo soo jiitamayay,Politics,0 = Fake News
mucijisada ka dhacday london qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday london qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
garoon diyaaradeed oo casri ah oo laga dhisayo garbahaarey,xiriirka kubadda cagta ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,garoon diyaaradeed oo casri ah oo laga dhisayo garbahaarey xiriirka kubadda cagta ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,Development,0 = Fake News
digniin caafimaad oo laga soo saaray melbourne,xiriirka kubadda cagta ayaa ka digtay cudur faafa oo halis ku ah bulshada,digniin caafimaad oo laga soo saaray melbourne xiriirka kubadda cagta ayaa ka digtay cudur faafa oo halis ku ah bulshada,Health,0 = Fake News
mashruuc weyn oo dib loogu dhisayo wadooyinka hobyo,maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,mashruuc weyn oo dib loogu dhisayo wadooyinka hobyo maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,Development,0 = Fake News
nidaamka cusub ee shirkadda dahabshiil oo internetka dalka saameynaya,waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo stockholm muddo dhow,nidaamka cusub ee shirkadda dahabshiil oo internetka dalka saameynaya waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo stockholm muddo dhow,Technology,0 = Fake News
hackers caalami ah oo jabsaday nidaamka shirkadda hormuud ee melbourne,xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,hackers caalami ah oo jabsaday nidaamka shirkadda hormuud ee melbourne xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,Technology,0 = Fake News
lacag malaayiin dollar ah oo ka luntay maamulka hirshabelle,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay garowe,lacag malaayiin dollar ah oo ka luntay maamulka hirshabelle warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay garowe,Finance,0 = Fake News
hel lacag dhan adigoo gurigaaga jooga hargeisa,kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,hel lacag dhan adigoo gurigaaga jooga hargeisa kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,Scams,0 = Fake News
nidaamka cusub ee golaha wasiirada oo internetka dalka saameynaya,waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo hargeisa muddo dhow,nidaamka cusub ee golaha wasiirada oo internetka dalka saameynaya waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo hargeisa muddo dhow,Technology,0 = Fake News
mucijisada dhacday midowga yurub oo badhan kaga dhawaaqay iscasilaad,warar laga helay badhan ayaa sheegaya in midowga yurub uu xilka ka degay cadaadis siyaasadeed awgiis,mucijisada dhacday midowga yurub oo badhan kaga dhawaaqay iscasilaad warar laga helay badhan ayaa sheegaya in midowga yurub uu xilka ka degay cadaadis siyaasadeed awgiis,Politics,0 = Fake News
khasnadda maamulka jubaland oo laga helay wax isdabamarin dhan milyan,baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan seattle,khasnadda maamulka jubaland oo laga helay wax isdabamarin dhan milyan baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan seattle,Finance,0 = Fake News
hel lacag dhan adigoo gurigaaga jooga jowhar,kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,hel lacag dhan adigoo gurigaaga jooga jowhar kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,Scams,0 = Fake News
daawo dabiici ah oo lagu daaweynayo dhamaan noocyada kansarka oo garowe laga helay,aqoonyahanada ayaa rumeysan in geedkan uu yahay mid mucjiso ah oo hore loo qariyay,daawo dabiici ah oo lagu daaweynayo dhamaan noocyada kansarka oo garowe laga helay aqoonyahanada ayaa rumeysan in geedkan uu yahay mid mucjiso ah oo hore loo qariyay,Health,0 = Fake News
fadeexad qaramada midoobay oo laga eryay munaasabadda hidaha iyo dhaqanka ee qardho,shacabka ayaa ka xumaaday habdhaqanka masuulkaa intii ay socotay xafladda,fadeexad qaramada midoobay oo laga eryay munaasabadda hidaha iyo dhaqanka ee qardho shacabka ayaa ka xumaaday habdhaqanka masuulkaa intii ay socotay xafladda,Social,0 = Fake News
lacag malaayiin dollar ah oo ka luntay bangiga adduunka,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay cadaado,lacag malaayiin dollar ah oo ka luntay bangiga adduunka warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay cadaado,Finance,0 = Fake News
khasnadda bangiga dhexe oo laga helay wax isdabamarin dhan milyan,baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan galkacyo,khasnadda bangiga dhexe oo laga helay wax isdabamarin dhan milyan baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan galkacyo,Finance,0 = Fake News
mashruuc weyn oo dib loogu dhisayo wadooyinka garbahaarey,maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,mashruuc weyn oo dib loogu dhisayo wadooyinka garbahaarey maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,Development,0 = Fake News
hel lacag dhan adigoo gurigaaga jooga hobyo,kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,hel lacag dhan adigoo gurigaaga jooga hobyo kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,Scams,0 = Fake News
khasnadda xiriirka kubadda cagta oo laga helay wax isdabamarin dhan milyan,baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan xudur,khasnadda xiriirka kubadda cagta oo laga helay wax isdabamarin dhan milyan baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan xudur,Finance,0 = Fake News
ciidamo dheeri ah oo la dhoobay wadooyinka oslo,sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,ciidamo dheeri ah oo la dhoobay wadooyinka oslo sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,Security,0 = Fake News
nidaamka cusub ee wasaaradda arrimaha gudaha oo internetka dalka saameynaya,waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo melbourne muddo dhow,nidaamka cusub ee wasaaradda arrimaha gudaha oo internetka dalka saameynaya waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo melbourne muddo dhow,Technology,0 = Fake News
mucijisada ka dhacday jowhar qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday jowhar qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
nidaamka cusub ee maamulka koonfur galbeed oo internetka dalka saameynaya,waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo xudur muddo dhow,nidaamka cusub ee maamulka koonfur galbeed oo internetka dalka saameynaya waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo xudur muddo dhow,Technology,0 = Fake News
tiktok iyo facebook oo laga mamnuucay boosaaso laga bilaabo berri,goaankan ayaa yimid ka dib markii wasaaradu ay sheegtay in la ilaalinayo anshaxa,tiktok iyo facebook oo laga mamnuucay boosaaso laga bilaabo berri goaankan ayaa yimid ka dib markii wasaaradu ay sheegtay in la ilaalinayo anshaxa,Technology,0 = Fake News
hel lacag dhan adigoo gurigaaga jooga ceelwaaq,kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,hel lacag dhan adigoo gurigaaga jooga ceelwaaq kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,Scams,0 = Fake News
garoon diyaaradeed oo casri ah oo laga dhisayo boosaaso,qaramada midoobay ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,garoon diyaaradeed oo casri ah oo laga dhisayo boosaaso qaramada midoobay ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,Development,0 = Fake News
fadeexadii ugu weyneyd daawo khatar ah oo lagu arkay stockholm,dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,fadeexadii ugu weyneyd daawo khatar ah oo lagu arkay stockholm dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,Health,0 = Fake News
ciidamo dheeri ah oo la dhoobay wadooyinka dhobley,sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,ciidamo dheeri ah oo la dhoobay wadooyinka dhobley sababta ayaa lagu sheegay in lagu adkeynayo ammaanka ka dib warar laga helay sirdoonka,Security,0 = Fake News
mashruuc weyn oo dib loogu dhisayo wadooyinka cape town,maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,mashruuc weyn oo dib loogu dhisayo wadooyinka cape town maamulka deegaanka ayaa xadhiga ka jaray mashruuc ku kacaya malaayiin dollar,Development,0 = Fake News
lacag malaayiin dollar ah oo ka luntay ururka midowga afrika,warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay stockholm,lacag malaayiin dollar ah oo ka luntay ururka midowga afrika warbixin hordhac ah ayaa sheegtay musuqmaasuq ka dhacay stockholm,Finance,0 = Fake News
fadeexad golaha wasiirada oo laga eryay munaasabadda hidaha iyo dhaqanka ee london,shacabka ayaa ka xumaaday habdhaqanka masuulkaa intii ay socotay xafladda,fadeexad golaha wasiirada oo laga eryay munaasabadda hidaha iyo dhaqanka ee london shacabka ayaa ka xumaaday habdhaqanka masuulkaa intii ay socotay xafladda,Social,0 = Fake News
heshiis hordhac ah oo laga gaaray doorashada berbera,ilo wareedyo ayaa xaqiijiyay in golaha wasiirada iyo madaxda kale ay heshiis ka gaareen muran muddo soo jiitamayay,heshiis hordhac ah oo laga gaaray doorashada berbera ilo wareedyo ayaa xaqiijiyay in golaha wasiirada iyo madaxda kale ay heshiis ka gaareen muran muddo soo jiitamayay,Politics,0 = Fake News
deg deg bandow lagu soo rogay afgooye,guddoomiyaha baarlamaanka ayaa sheegay in tallaabadan ay tahay mid lagu xaqiijinayo amniga,deg deg bandow lagu soo rogay afgooye guddoomiyaha baarlamaanka ayaa sheegay in tallaabadan ay tahay mid lagu xaqiijinayo amniga,Security,0 = Fake News
fursad shaqo shirkadda dahabshiil oo u baahan shaqaale mushaharkoodu sarreeyo,haddii aad joogto melbourne fadlan riix linkiga hoose si aad u hesho fursadan dahabiga ah,fursad shaqo shirkadda dahabshiil oo u baahan shaqaale mushaharkoodu sarreeyo haddii aad joogto melbourne fadlan riix linkiga hoose si aad u hesho fursadan dahabiga ah,Scams,0 = Fake News
hackers caalami ah oo jabsaday nidaamka ururka midowga afrika ee beledweyne,xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,hackers caalami ah oo jabsaday nidaamka ururka midowga afrika ee beledweyne xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,Technology,0 = Fake News
mucijisada ka dhacday riyadh qof dhintay oo hadlay,kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,mucijisada ka dhacday riyadh qof dhintay oo hadlay kumanaan qof ayaa isugu soo baxay si ay u arkaan arrintan layaabka leh,Social,0 = Fake News
garoon diyaaradeed oo casri ah oo laga dhisayo borama,guddoomiyaha baarlamaanka ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,garoon diyaaradeed oo casri ah oo laga dhisayo borama guddoomiyaha baarlamaanka ayaa rumeysan in tani ay fududeyn doonto gargaarka biniaadantinimo,Development,0 = Fake News
nidaamka cusub ee maamulka hirshabelle oo internetka dalka saameynaya,waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo hobyo muddo dhow,nidaamka cusub ee maamulka hirshabelle oo internetka dalka saameynaya waxaa jira qorshe lagu xirayo baraha bulshada ee laga isticmaalo hobyo muddo dhow,Technology,0 = Fake News
hackers caalami ah oo jabsaday nidaamka bangiga dhexe ee badhan,xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,hackers caalami ah oo jabsaday nidaamka bangiga dhexe ee badhan xogta kumanaan qof ayaa la rumeysan inay gacanta u gashay kooxo dambiilayaal ah,Technology,0 = Fake News
war deg deg ah maamulka hirshabelle oo muqdisho kaga dhawaaqay iscasilaad,warar laga helay muqdisho ayaa sheegaya in maamulka hirshabelle uu xilka ka degay cadaadis siyaasadeed awgiis,war deg deg ah maamulka hirshabelle oo muqdisho kaga dhawaaqay iscasilaad warar laga helay muqdisho ayaa sheegaya in maamulka hirshabelle uu xilka ka degay cadaadis siyaasadeed awgiis,Politics,0 = Fake News
sir culus daawo khatar ah oo lagu arkay istanbul,dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,sir culus daawo khatar ah oo lagu arkay istanbul dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,Health,0 = Fake News
khasnadda maamulka koonfur galbeed oo laga helay wax isdabamarin dhan milyan,baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan cadaado,khasnadda maamulka koonfur galbeed oo laga helay wax isdabamarin dhan milyan baaris hordhac ah ayaa muujinaysa in lacago badan loo leexiyay akoono ka baxsan cadaado,Finance,0 = Fake News
fursad shaqo shirkadda somtel oo u baahan shaqaale mushaharkoodu sarreeyo,haddii aad joogto borama fadlan riix linkiga hoose si aad u hesho fursadan dahabiga ah,fursad shaqo shirkadda somtel oo u baahan shaqaale mushaharkoodu sarreeyo haddii aad joogto borama fadlan riix linkiga hoose si aad u hesho fursadan dahabiga ah,Scams,0 = Fake News
sare u kac ku yimid qiimaha sarifka ee galkacyo,ganacsatada ayaa bilaabay inay diidaan lacagta dalka ka dib markii ururka midowga afrika uu soo saaray amar cusub,sare u kac ku yimid qiimaha sarifka ee galkacyo ganacsatada ayaa bilaabay inay diidaan lacagta dalka ka dib markii ururka midowga afrika uu soo saaray amar cusub,Finance,0 = Fake News
hel lacag dhan adigoo gurigaaga jooga las khoray,kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,hel lacag dhan adigoo gurigaaga jooga las khoray kaliya waxaad u baahan tahay inaad la wadaagto fariintan qof oo kale oo whatsappkaaga ku jira,Scams,0 = Fake News
cod sir ah bangiga adduunka oo laga duubay isagoo qorsheynaya inuu guriceel ka baxsado,audio la helay ayaa muujinaya in khilaaf weyn uu ka dhex jiro xubnaha sare ee maamulka,cod sir ah bangiga adduunka oo laga duubay isagoo qorsheynaya inuu guriceel ka baxsado audio la helay ayaa muujinaya in khilaaf weyn uu ka dhex jiro xubnaha sare ee maamulka,Politics,0 = Fake News
xog qarsoodi ah daawo khatar ah oo lagu arkay balanbale,dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,xog qarsoodi ah daawo khatar ah oo lagu arkay balanbale dhakhaatiir ayaa sheegay in daawadan ay keentay xaalado caafimaad oo daran,Health,0 = Fake News
